ID,age,sex
789,29.0,F
790,63.0,M
791,45.0,F
792,42.0,F
793,40.0,F
794,37.0,F
795,46.0,F
796,42.0,M
870,30.0,F
871,80.0,M
872,78.0,M
873,70.0,M
874,36.0,F
877,35.0,F
878,38.0,F
880,46.0,F
881,69.0,M
882,59.0,M
884,41.0,F
885,40.0,F
886,47.0,M
887,34.0,M
888,47.0,M
890,42.0,M
891,39.0,M
892,41.0,F
894,35.0,F
895,68.0,M
896,65.0,F
898,57.0,F
899,49.0,F
901,39.0,F
902,44.0,M
903,61.0,F
905,52.0,F
906,55.0,F
908,65.0,M
909,20.0,F
910,39.0,F
912,49.0,M
913,30.0,F
914,44.0,M
915,17.0,M
916,45.0,M
917,26.0,F
918,31.0,F
919,42.0,F
921,44.0,F
922,42.0,M
924,67.0,F
925,41.0,M
926,41.0,F
927,49.0,F
928,66.0,F
929,45.0,F
930,28.0,M
931,49.0,M
933,48.0,F
934,57.0,F
936,46.0,F
937,47.0,M
940,58.0,M
942,73.0,M
943,24.0,M
944,44.0,F
945,70.0,M
946,66.0,M
947,63.0,M
949,32.0,F
950,46.0,F
951,50.0,F
953,43.0,F
954,55.0,M
955,47.0,M
956,31.0,M
957,20.0,M
958,52.0,M
959,63.0,F
960,68.0,M
961,59.0,M
962,28.0,M
963,21.0,M
964,31.0,F
965,40.0,M
967,47.0,F
968,65.0,F
969,47.0,F
970,71.0,F
971,34.0,F
973,45.0,M
974,36.0,M
976,50.0,F
979,39.0,M
933,48.0,F
981,60.0,F
984,34.0,M
985,41.0,F
986,68.0,F
987,67.0,M
988,18.0,F
989,44.0,F
991,60.0,M
992,34.0,F
994,38.0,F
996,46.0,F
999,54.0,F
1000,46.0,F
1002,28.0,M
1003,44.0,M
1004,49.0,M
1005,43.0,M
1006,58.0,F
1008,53.0,M
1010,36.0,F
1015,53.0,M
933,48.0,F
1017,47.0,F
1018,53.0,F
1020,40.0,F
1021,28.0,F
1023,37.0,M
1025,41.0,M
1026,57.0,M
1028,65.0,M
1029,45.0,F
1033,35.0,M
1034,54.0,M
1036,53.0,M
1037,66.0,M
1039,45.0,F
1040,38.0,F
1042,72.0,M
1044,34.0,F
1047,73.0,F
1048,69.0,M
1051,42.0,F
1052,69.0,M
1054,39.0,M
1056,72.0,M
1058,67.0,M
1059,52.0,M
1060,51.0,F
1061,57.0,F
1062,59.0,F
1063,38.0,M
1064,56.0,F
1065,52.0,F
1067,29.0,M
1069,50.0,M
933,48.0,F
1072,47.0,M
1073,34.0,M
1074,55.0,F
1076,68.0,M
1078,55.0,M
1083,68.0,M
1085,56.0,M
1086,73.0,M
1087,43.0,M
1089,44.0,F
1090,59.0,M
1093,42.0,M
1094,36.0,M
1096,45.0,M
1097,41.0,F
1098,67.0,M
1099,47.0,F
1100,46.0,F
1101,56.0,M
1102,44.0,F
1104,55.0,M
1107,40.0,F
1108,36.0,F
1111,36.0,M
1113,68.0,F
1114,55.0,M
1115,47.0,F
1116,41.0,M
1117,40.0,M
1118,45.0,F
1119,67.0,F
1120,42.0,F
1121,54.0,M
1122,22.0,M
1123,64.0,M
1124,45.0,F
1125,39.0,M
1126,24.0,F
1127,40.0,F
1128,47.0,F
1129,60.0,M
1130,36.0,M
1132,33.0,F
1133,24.0,F
1135,41.0,F
1136,55.0,M
1137,37.0,M
1138,59.0,F
1139,20.0,F
1140,42.0,M
1142,53.0,F
1143,48.0,F
1145,65.0,M
1146,27.0,M
1147,54.0,F
1148,55.0,F
1149,32.0,M
1150,28.0,F
1152,75.0,F
1153,41.0,M
1154,40.0,M
1156,42.0,F
1157,34.0,F
1158,73.0,F
1159,16.0,M
1160,64.0,M
1162,58.0,F
1163,44.0,M
1166,29.0,F
1168,56.0,F
1169,38.0,F
1170,39.0,F
1171,42.0,M
1173,65.0,M
1174,52.0,M
1175,40.0,F
1176,49.0,M
1177,41.0,M
1179,53.0,M
1180,46.0,F
1181,51.0,M
1183,37.0,F
1184,39.0,M
1185,55.0,M
1188,37.0,M
1189,47.0,M
1190,52.0,M
1191,66.0,M
1193,42.0,M
1195,37.0,F
1196,28.0,F
1197,21.0,F
1201,66.0,M
1203,23.0,M
1204,29.0,F
1205,46.0,F
1206,37.0,F
1209,62.0,M
1211,21.0,F
1216,32.0,F
1217,63.0,M
1218,59.0,F
1220,52.0,M
1223,39.0,F
1224,52.0,F
247,36.0,F
1226,55.0,F
1227,42.0,M
1228,57.0,F
1230,49.0,F
1231,63.0,F
1232,70.0,M
933,48.0,F
1234,41.0,M
1235,28.0,F
1236,18.0,M
1237,43.0,F
1238,30.0,F
1239,55.0,F
1240,47.0,F
1241,49.0,M
1243,56.0,M
1244,35.0,F
1245,32.0,M
1247,21.0,M
1251,35.0,M
1253,37.0,F
1254,68.0,F
1255,45.0,M
1256,46.0,F
1257,45.0,M
1258,42.0,F
1259,54.0,F
1261,46.0,M
1263,29.0,M
1264,34.0,M
1265,41.0,M
1266,50.0,F
1267,43.0,F
1268,65.0,F
1270,41.0,F
1272,54.0,M
1273,51.0,F
1275,58.0,M
1277,49.0,M
1278,40.0,M
1279,53.0,F
1280,39.0,M
1281,47.0,M
1282,55.0,M
1283,76.0,M
1285,54.0,M
1286,47.0,M
1291,47.0,M
1292,50.0,F
1293,30.0,F
1294,30.0,F
1295,52.0,M
1296,20.0,M
1298,52.0,M
1300,46.0,M
1301,51.0,M
1303,58.0,M
1305,28.0,M
1306,70.0,M
1307,48.0,M
1309,40.0,M
1311,61.0,F
1313,49.0,M
1315,51.0,M
1317,46.0,F
1320,39.0,M
1322,43.0,M
1324,50.0,M
933,48.0,F
1327,42.0,F
1328,41.0,M
1329,50.0,M
1331,70.0,M
1333,69.0,M
1334,63.0,M
1335,40.0,F
1336,28.0,F
1337,74.0,M
1339,39.0,M
1341,35.0,M
1342,30.0,M
1343,37.0,M
1344,21.0,F
1347,37.0,F
1348,54.0,M
1349,47.0,M
1350,64.0,M
1351,43.0,M
1353,73.0,F
1356,54.0,F
1358,64.0,F
1359,55.0,F
1360,27.0,F
1361,42.0,F
1362,59.0,M
1363,51.0,M
1364,37.0,M
1367,51.0,M
1369,27.0,F
1370,52.0,F
1372,27.0,F
1373,50.0,M
1374,33.0,F
1375,40.0,M
1376,21.0,F
1377,54.0,F
1378,62.0,F
1379,65.0,M
1380,31.0,F
1383,51.0,F
1385,66.0,M
1386,39.0,M
1387,39.0,F
1388,39.0,M
1389,32.0,F
1390,76.0,M
1391,69.0,M
1392,68.0,M
1393,47.0,F
1396,69.0,M
1397,44.0,M
1398,50.0,F
1399,67.0,F
1400,46.0,M
1402,64.0,F
1405,48.0,F
1406,36.0,F
1410,75.0,M
1412,34.0,M
1414,59.0,F
1415,63.0,M
1416,51.0,F
1417,46.0,M
1419,35.0,M
1420,30.0,F
1421,45.0,F
1422,66.0,M
1424,42.0,F
1426,67.0,M
1428,34.0,F
1429,38.0,F
1432,54.0,M
1433,39.0,M
1435,35.0,F
1440,55.0,F
1443,43.0,M
1444,53.0,M
1445,47.0,M
1446,68.0,F
1447,60.0,M
1448,29.0,M
1449,68.0,M
1450,36.0,F
1452,49.0,F
1454,41.0,F
1455,39.0,F
1456,47.0,M
1457,40.0,M
1458,50.0,M
1459,35.0,F
1460,59.0,M
1461,18.0,M
1463,55.0,F
1465,21.0,F
1466,33.0,M
1467,38.0,F
1469,39.0,M
1470,54.0,F
1471,30.0,M
1472,33.0,M
1473,46.0,F
1476,34.0,M
1477,57.0,M
1479,36.0,M
1481,47.0,M
1482,47.0,M
1485,63.0,F
1486,35.0,M
1487,60.0,F
1489,46.0,M
1493,79.0,M
1494,69.0,F
1497,68.0,F
1498,45.0,F
1500,48.0,M
1502,72.0,M
1503,34.0,M
1504,50.0,M
1505,49.0,M
1506,36.0,M
1508,57.0,F
1510,46.0,F
1511,29.0,M
1512,45.0,M
1517,69.0,M
1519,41.0,F
1521,38.0,F
1524,56.0,M
1525,39.0,F
1527,43.0,F
1530,61.0,F
1531,57.0,M
1532,32.0,F
1534,61.0,F
1535,65.0,M
1536,37.0,F
1537,57.0,M
1538,30.0,F
1539,66.0,F
1540,46.0,F
1541,60.0,F
1542,61.0,F
1544,73.0,M
1548,46.0,F
1549,30.0,M
933,48.0,F
1552,55.0,M
1553,45.0,M
1554,51.0,M
1555,38.0,F
1556,49.0,M
1557,48.0,M
1559,47.0,F
1560,57.0,M
1562,30.0,M
1563,26.0,F
1564,44.0,F
1565,40.0,F
1566,58.0,M
1568,33.0,F
1569,37.0,F
1570,39.0,F
1573,56.0,M
1574,37.0,F
1576,43.0,M
1577,41.0,M
1578,50.0,F
1579,63.0,F
1580,53.0,M
1581,33.0,M
1582,34.0,M
1583,40.0,F
1585,52.0,M
1586,62.0,M
1587,21.0,F
933,48.0,F
1590,38.0,F
1591,41.0,F
1592,53.0,M
1593,15.0,M
1594,46.0,M
1595,52.0,F
1598,44.0,M
1599,52.0,M
1600,46.0,F
1604,22.0,M
1605,40.0,F
1606,67.0,F
1608,45.0,M
1612,45.0,F
1613,40.0,F
1616,62.0,M
1617,49.0,M
1618,34.0,M
1619,30.0,M
1620,70.0,M
1621,39.0,M
1624,16.0,F
1625,53.0,M
1626,51.0,F
1629,57.0,M
1630,61.0,F
1631,44.0,F
1632,35.0,F
1633,38.0,M
1636,68.0,M
1638,67.0,F
1639,64.0,M
1641,42.0,F
1642,52.0,M
1643,56.0,M
1644,66.0,M
1645,55.0,M
1646,64.0,M
1647,34.0,M
1648,52.0,F
1649,43.0,M
1651,48.0,M
933,48.0,F
1659,28.0,F
1660,54.0,F
1661,61.0,F
1662,44.0,F
1663,52.0,M
1664,71.0,F
1665,61.0,F
1666,37.0,F
1667,55.0,M
1668,42.0,M
1670,28.0,M
1672,30.0,F
1674,38.0,M
1676,23.0,F
1678,68.0,M
1679,28.0,F
1682,54.0,M
1683,63.0,M
1685,54.0,F
1687,60.0,F
1688,64.0,F
1689,50.0,F
1690,68.0,F
1691,61.0,F
1694,67.0,M
1695,40.0,F
1696,26.0,F
1697,41.0,F
1699,64.0,M
1700,24.0,F
1701,50.0,M
1702,14.0,F
1707,38.0,F
1708,50.0,M
1710,57.0,F
1713,50.0,F
1714,70.0,M
1715,64.0,M
947,63.0,M
1717,51.0,M
1719,47.0,M
1720,20.0,M
1721,18.0,F
1722,49.0,F
1723,61.0,M
1724,76.0,F
1725,48.0,M
1726,51.0,F
1728,61.0,M
1731,59.0,F
1732,45.0,M
1733,34.0,M
1734,34.0,F
1735,34.0,F
1738,32.0,M
1739,52.0,F
1740,66.0,M
1741,49.0,F
1742,60.0,F
1743,40.0,M
1744,26.0,M
1746,45.0,M
1748,34.0,F
1749,34.0,M
1753,50.0,M
1754,63.0,F
1755,64.0,F
1756,47.0,F
1757,37.0,M
1758,33.0,F
1759,63.0,M
1760,41.0,M
1762,64.0,F
1765,59.0,M
1767,67.0,F
1768,21.0,F
1770,39.0,M
1772,39.0,M
1773,54.0,M
1774,44.0,M
1776,21.0,F
1777,37.0,F
1780,32.0,F
1782,45.0,M
1783,29.0,F
1785,49.0,M
1786,32.0,F
1787,34.0,M
1788,49.0,F
1791,17.0,M
1793,30.0,M
933,48.0,F
1795,63.0,F
1797,37.0,F
1798,52.0,F
1799,52.0,M
1800,88.0,M
1802,67.0,F
1803,41.0,F
1806,53.0,F
1807,39.0,M
1808,51.0,F
1809,17.0,F
1810,70.0,F
1811,42.0,F
1812,33.0,F
1813,50.0,F
1814,37.0,F
1816,39.0,F
1817,65.0,F
1818,47.0,M
1820,35.0,F
1821,52.0,M
1822,45.0,M
1824,55.0,F
1825,74.0,F
1826,46.0,F
1831,55.0,F
1832,39.0,M
933,48.0,F
933,48.0,F
1837,46.0,M
1838,50.0,F
1840,31.0,M
1842,30.0,M
1843,54.0,F
1844,39.0,F
1846,35.0,M
1849,49.0,F
1851,46.0,M
1853,37.0,M
1854,20.0,F
1855,46.0,M
1856,65.0,M
1857,34.0,F
1860,47.0,M
1861,25.0,F
1862,43.0,F
1863,44.0,F
1864,60.0,M
1865,39.0,F
1866,46.0,F
1867,49.0,F
1868,33.0,F
1869,34.0,M
1870,57.0,M
1872,34.0,F
1874,42.0,F
1876,28.0,M
1877,54.0,F
1878,36.0,F
1879,60.0,F
1880,50.0,F
1882,41.0,M
1883,53.0,M
1885,40.0,F
1887,61.0,F
1889,38.0,F
1890,44.0,F
1891,40.0,F
1892,17.0,M
1893,40.0,M
1894,49.0,M
1895,59.0,F
1897,36.0,M
1898,56.0,F
1899,55.0,F
1900,49.0,F
1902,46.0,M
1903,64.0,M
1905,63.0,M
1907,46.0,F
1908,32.0,F
1909,69.0,M
1910,47.0,M
933,48.0,F
933,48.0,F
1913,20.0,F
1914,58.0,F
1915,60.0,F
1917,68.0,M
1919,63.0,F
1920,70.0,M
1922,46.0,F
1923,46.0,M
1924,25.0,M
1925,44.0,M
1926,74.0,F
1928,70.0,F
1929,60.0,F
1930,38.0,M
1931,56.0,F
1932,33.0,F
1934,44.0,M
1935,60.0,M
1936,59.0,F
1939,40.0,M
1940,57.0,M
1943,65.0,F
1944,48.0,F
1945,49.0,M
1946,60.0,M
1948,31.0,M
1951,43.0,M
1958,58.0,F
1959,54.0,M
1960,61.0,F
1961,64.0,M
1963,38.0,M
1965,77.0,M
1967,72.0,M
1969,14.0,F
1971,44.0,F
1972,35.0,M
1973,52.0,M
1975,45.0,F
1976,30.0,F
1977,70.0,F
1978,55.0,M
1979,44.0,F
1980,61.0,M
1981,53.0,M
1982,50.0,F
1983,50.0,F
1985,24.0,M
1986,54.0,M
1987,65.0,F
933,48.0,F
1989,55.0,M
1991,41.0,M
1992,41.0,M
1993,54.0,F
1995,52.0,F
1997,53.0,F
1998,37.0,M
1999,36.0,M
2000,40.0,F
2002,32.0,M
933,48.0,F
2005,41.0,M
2007,47.0,M
2009,46.0,F
2010,34.0,F
2011,60.0,F
2012,45.0,M
2014,54.0,F
2018,64.0,M
2019,62.0,F
2021,33.0,F
2022,35.0,M
2023,40.0,F
2024,73.0,M
2026,43.0,F
2031,49.0,M
2033,56.0,M
2034,59.0,M
2035,31.0,F
2036,54.0,F
2037,40.0,F
2040,49.0,F
2043,41.0,F
2046,79.0,F
2049,20.0,M
2051,58.0,F
2053,35.0,M
2054,69.0,F
2056,26.0,F
2057,45.0,F
2058,44.0,F
2060,64.0,M
2061,59.0,M
2062,39.0,F
2063,34.0,M
2064,36.0,M
2066,50.0,F
2067,45.0,M
2068,52.0,M
2069,52.0,F
2070,46.0,F
2071,50.0,M
2072,42.0,M
2073,64.0,M
2074,50.0,M
2076,84.0,F
2077,35.0,M
2078,47.0,F
2079,42.0,M
2080,32.0,F
2081,25.0,F
2082,41.0,M
2083,70.0,F
2086,37.0,F
2087,39.0,F
2088,52.0,M
2089,60.0,M
2091,39.0,F
2093,61.0,M
2094,65.0,M
2095,34.0,F
2096,61.0,F
2097,39.0,M
2098,53.0,F
2099,31.0,M
2100,45.0,M
2102,67.0,M
933,48.0,F
2105,64.0,M
2106,48.0,M
2107,37.0,M
2108,29.0,F
2112,66.0,F
2113,61.0,M
2114,20.0,F
2115,58.0,M
2118,35.0,F
2122,64.0,F
2123,20.0,F
2124,46.0,F
2128,63.0,M
2130,47.0,M
2131,21.0,F
2132,16.0,M
2136,59.0,F
2137,61.0,F
2139,55.0,M
2145,35.0,M
2146,57.0,M
2147,20.0,F
2148,55.0,M
2150,81.0,F
2151,44.0,F
2152,56.0,F
2153,42.0,F
2155,51.0,F
2157,50.0,M
2159,21.0,F
2160,41.0,F
2161,43.0,M
2162,44.0,F
2163,59.0,F
2165,45.0,M
2166,68.0,F
